id_espaco,rua,tipo_ibge,lat,lon,nome_estab
IBGE-280240,"RUA DIVINA PASTORA, 842",Residencial,-10.909262,-37.05695,
IBGE-280239,"RUA DIVINA PASTORA, 842",Residencial,-10.909299,-37.056985,
IBGE-280241,"RUA DIVINA PASTORA, 842",Residencial,-10.909287,-37.056982,
IBGE-280242,"RUA DIVINA PASTORA, 0",Residencial,-10.90922,-37.057003,
IBGE-280243,"RUA DIVINA PASTORA, 854",Residencial,-10.909242,-37.057117,
IBGE-280244,"RUA DIVINA PASTORA, 860",Residencial,-10.909278,-37.05714,
IBGE-280245,"RUA DIVINA PASTORA, 864",Residencial,-10.909296,-37.057198,
IBGE-280246,"RUA DIVINA PASTORA, 866",Residencial,-10.909296,-37.057226,
IBGE-280247,"RUA DIVINA PASTORA, 870",Residencial,-10.909345,-37.057253,
IBGE-280248,"RUA DIVINA PASTORA, 872",Loja/Comércio/Serviço,-10.909448,-37.057237,ACADEMIA
IBGE-280249,"RUA DIVINA PASTORA, 872",Loja/Comércio/Serviço,-10.909417,-37.057233,OFICINA
IBGE-280250,"RUA DIVINA PASTORA, 0",Residencial,-10.909366,-37.057267,
IBGE-280251,"RUA DIVINA PASTORA, 882",Loja/Comércio/Serviço,-10.909358,-37.057319,LOJA DE PNEUS
IBGE-280273,"RUA DIVINA PASTORA, 871",Residencial,-10.909359,-37.057263,
IBGE-280274,"RUA DIVINA PASTORA, 865",Residencial,-10.909344,-37.057123,
IBGE-280279,"RUA DIVINA PASTORA, 857",Residencial,-10.909266,-37.057174,
IBGE-280278,"RUA DIVINA PASTORA, 857",Residencial,-10.909266,-37.057174,
IBGE-280277,"RUA DIVINA PASTORA, 857",Residencial,-10.909266,-37.057174,
IBGE-280276,"RUA DIVINA PASTORA, 857",Residencial,-10.909266,-37.057174,
IBGE-280275,"RUA DIVINA PASTORA, 857",Residencial,-10.909266,-37.057174,
IBGE-280281,"RUA DIVINA PASTORA, 853",Residencial,-10.909262,-37.057072,
IBGE-280282,"RUA DIVINA PASTORA, 849",Residencial,-10.909246,-37.057031,
IBGE-280283,"RUA DIVINA PASTORA, 843",Galpão/Ruína/Obra,-10.909288,-37.057036,
IBGE-280284,"RUA DIVINA PASTORA, 835",Residencial,-10.909247,-37.056963,
IBGE-280285,"RUA DIVINA PASTORA, 829",Residencial,-10.909209,-37.056923,
IBGE-280286,"RUA DIVINA PASTORA, 825",Residencial,-10.909322,-37.05683,
IBGE-280287,"RUA DIVINA PASTORA, 821",Residencial,-10.909337,-37.056807,
IBGE-280289,"RUA DIVINA PASTORA, 809",Residencial,-10.909315,-37.05673,
IBGE-280289,"RUA DIVINA PASTORA, 809",Loja/Comércio/Serviço,-10.909315,-37.05673,ARACAJU MKT
IBGE-280290,"RUA DIVINA PASTORA, 805",Residencial,-10.909316,-37.056688,
IBGE-280292,"RUA DIVINA PASTORA, 801",Loja/Comércio/Serviço,-10.909327,-37.056607,LOJA
IBGE-280291,"RUA DIVINA PASTORA, 801",Residencial,-10.909327,-37.056607,
IBGE-280293,"RUA DIVINA PASTORA, 795",Residencial,-10.909363,-37.05658,
IBGE-280294,"RUA DIVINA PASTORA, 789",Residencial,-10.909311,-37.056543,
IBGE-280295,"RUA DIVINA PASTORA, 785",Residencial,-10.909205,-37.056496,
IBGE-280296,"RUA DIVINA PASTORA, 781",Residencial,-10.910038,-37.056301,
IBGE-280297,"RUA DIVINA PASTORA, 775",Residencial,-10.909286,-37.056404,
IBGE-280298,"RUA DIVINA PASTORA, 771",Residencial,-10.90931,-37.056305,
IBGE-280299,"RUA DIVINA PASTORA, 765",Residencial,-10.909281,-37.056331,
IBGE-280300,"RUA DIVINA PASTORA, 759",Residencial,-10.909233,-37.056267,
IBGE-280301,"RUA DIVINA PASTORA, 753",Residencial,-10.909291,-37.05625,
IBGE-280302,"RUA DIVINA PASTORA, 747",Residencial,-10.909282,-37.056112,
IBGE-280303,"RUA DIVINA PASTORA, 743",Residencial,-10.909318,-37.056023,
IBGE-280304,"RUA DIVINA PASTORA, 743",Loja/Comércio/Serviço,-10.909282,-37.056112,BAR DO FABINHO
IBGE-280280,"RUA DIVINA PASTORA, 857",Residencial,-10.90929,-37.057132,
IBGE-189337317,"RUA DIVINA PASTORA, 865",Residencial,-10.909344,-37.057123,
IBGE-189337321,"RUA DIVINA PASTORA, 865",Residencial,-10.909344,-37.057123,
IBGE-189337324,"RUA DIVINA PASTORA, 865",Residencial,-10.909344,-37.057123,
IBGE-189337327,"RUA DIVINA PASTORA, 865",Residencial,-10.909344,-37.057123,
IBGE-189337330,"RUA DIVINA PASTORA, 865",Residencial,-10.909344,-37.057123,
IBGE-280320,"RUA GERUZINHO, 124",Residencial,-10.909681,-37.056466,
IBGE-280321,"RUA GERUZINHO, 124",Residencial,-10.909698,-37.056382,
IBGE-280322,"RUA GERUZINHO, 118",Residencial,-10.909736,-37.05653,
IBGE-280323,"RUA GERUZINHO, 122",Residencial,-10.909338,-37.056819,
IBGE-280324,"RUA GERUZINHO, 128",Residencial,-10.909349,-37.056837,
IBGE-280325,"RUA GERUZINHO, 130",Residencial,-10.909627,-37.056626,
IBGE-280326,"RUA GERUZINHO, 134",Residencial,-10.909635,-37.056628,
IBGE-280327,"RUA GERUZINHO, 140",Residencial,-10.909607,-37.05671,
IBGE-280328,"RUA GERUZINHO, 148",Residencial,-10.90962,-37.056747,
IBGE-280329,"RUA GERUZINHO, 0",Residencial,-10.909655,-37.056839,
IBGE-280331,"RUA GERUZINHO, 154",Residencial,-10.909654,-37.056881,
IBGE-280332,"RUA GERUZINHO, 160",Residencial,-10.90963,-37.056874,
IBGE-280333,"RUA GERUZINHO, 170",Residencial,-10.909656,-37.056863,
IBGE-280334,"RUA GERUZINHO, 174",Residencial,-10.909662,-37.056963,
IBGE-280335,"RUA GERUZINHO, 176",Residencial,-10.909656,-37.056996,
IBGE-280336,"RUA GERUZINHO, 178",Residencial,-10.909689,-37.057044,
IBGE-280337,"RUA GERUZINHO, 182",Residencial,-10.909689,-37.057044,
IBGE-280338,"RUA GERUZINHO, 188",Residencial,-10.909688,-37.057123,
IBGE-189337367,"RUA GERUZINHO, 122",Residencial,-10.90968,-37.056554,
IBGE-280318,"RUA GERUZINHO, 0",Loja/Comércio/Serviço,-10.909727,-37.056331,BAR
IBGE-280349,"RUA GERUZINHO, 217",Residencial,-10.90973,-37.057154,
IBGE-280350,"RUA GERUZINHO, 213",Residencial,-10.909739,-37.057174,
IBGE-280351,"RUA GERUZINHO, 209",Residencial,-10.909696,-37.057085,
IBGE-280352,"RUA GERUZINHO, 203",Residencial,-10.909669,-37.057046,
IBGE-280353,"RUA GERUZINHO, 173",Residencial,-10.909925,-37.056977,
IBGE-280355,"RUA GERUZINHO, 167",Residencial,-10.909719,-37.056942,
IBGE-280356,"RUA GERUZINHO, 163",Residencial,-10.909928,-37.056857,
IBGE-280357,"RUA GERUZINHO, 159",Residencial,-10.909681,-37.056933,
IBGE-280360,"RUA GERUZINHO, 147",Residencial,-10.909596,-37.056861,
IBGE-280361,"RUA GERUZINHO, 145",Residencial,-10.909602,-37.056793,
IBGE-280362,"RUA GERUZINHO, 141",Residencial,-10.90962,-37.056745,
IBGE-280363,"RUA GERUZINHO, 137",Residencial,-10.909661,-37.056738,
IBGE-280364,"RUA GERUZINHO, 133",Residencial,-10.909682,-37.056649,
IBGE-280365,"RUA GERUZINHO, 129",Residencial,-10.909691,-37.056608,
IBGE-280366,"RUA GERUZINHO, 125",Residencial,-10.909714,-37.056548,
IBGE-280367,"RUA GERUZINHO, 117",Residencial,-10.909644,-37.056545,
IBGE-280368,"RUA GERUZINHO, 113",Residencial,-10.909685,-37.05648,
IBGE-280369,"RUA GERUZINHO, 42",Residencial,-10.909682,-37.056432,
IBGE-280370,"RUA GERUZINHO, 103",Galpão/Ruína/Obra,-10.909721,-37.05635,
IBGE-280373,"RUA GERUZINHO, 97",Residencial,-10.90968,-37.05629,
IBGE-280374,"RUA GERUZINHO, 0",Residencial,-10.909692,-37.056236,
IBGE-280358,"RUA GERUZINHO, 39",Residencial,-10.909669,-37.056846,
IBGE-280371,"RUA GERUZINHO, 12",Residencial,-10.909688,-37.056276,
IBGE-189337394,"RUA GERUZINHO, 173",Residencial,-10.909726,-37.057013,
IBGE-189337396,"RUA GERUZINHO, 125",Residencial,-10.909648,-37.056612,
IBGE-280198,"RUA SIRIRI, 208",Residencial,-10.908277,-37.055953,
IBGE-280198,"RUA SIRIRI, 208",Loja/Comércio/Serviço,-10.908277,-37.055953,BANCA
IBGE-280199,"RUA SIRIRI, 212",Residencial,-10.908356,-37.056027,
IBGE-280200,"RUA SIRIRI, 218",Residencial,-10.908371,-37.055997,
IBGE-280201,"RUA SIRIRI, 220",Residencial,-10.908381,-37.055985,
IBGE-280204,"RUA SIRIRI, 234",Residencial,-10.908504,-37.055977,
IBGE-280205,"RUA SIRIRI, 238",Residencial,-10.908542,-37.055993,
IBGE-280206,"RUA SIRIRI, 242",Residencial,-10.908646,-37.05597,
IBGE-280207,"RUA SIRIRI, 248",Residencial,-10.908629,-37.055976,
IBGE-280208,"RUA SIRIRI, 256",Residencial,-10.908737,-37.056014,
IBGE-280209,"RUA SIRIRI, 266",Residencial,-10.908788,-37.055988,
IBGE-280210,"RUA SIRIRI, 266",Residencial,-10.908857,-37.055984,
IBGE-280212,"RUA SIRIRI, 292",Residencial,-10.909045,-37.056024,
IBGE-280213,"RUA SIRIRI, 302",Residencial,-10.909158,-37.056004,
IBGE-280213,"RUA SIRIRI, 302",Loja/Comércio/Serviço,-10.909158,-37.056004,CIDA FLORES
IBGE-280202,"RUA SIRIRI, 226",Residencial,-10.908498,-37.055965,
IBGE-280203,"RUA SIRIRI, 230",Residencial,-10.908483,-37.055932,
IBGE-280211,"RUA SIRIRI, 0",Loja/Comércio/Serviço,-10.908903,-37.056004,GALPAO
IBGE-280305,"RUA SIRIRI, 0",Loja/Comércio/Serviço,-10.909443,-37.056092,BANHEIRO E COZINHA DO BAR
IBGE-280306,"RUA SIRIRI, 340",Residencial,-10.909428,-37.056047,
IBGE-280307,"RUA SIRIRI, 340",Loja/Comércio/Serviço,-10.909428,-37.056047,LOJA
IBGE-280308,"RUA SIRIRI, 342",Residencial,-10.909512,-37.056032,
IBGE-280310,"RUA SIRIRI, 346",Residencial,-10.909534,-37.056067,
IBGE-280311,"RUA SIRIRI, 350",Residencial,-10.909567,-37.05606,
IBGE-280315,"RUA SIRIRI, 354",Residencial,-10.909615,-37.056029,
IBGE-280314,"RUA SIRIRI, 354",Residencial,-10.909615,-37.056029,
IBGE-280313,"RUA SIRIRI, 354",Residencial,-10.909615,-37.056029,
IBGE-280312,"RUA SIRIRI, 354",Residencial,-10.909615,-37.056029,
IBGE-280316,"RUA SIRIRI, 358",Residencial,-10.909663,-37.056018,
IBGE-280317,"RUA SIRIRI, 362",Residencial,-10.909657,-37.056037,
IBGE-280375,"RUA SIRIRI, 372",Residencial,-10.909727,-37.056042,
IBGE-280376,"RUA SIRIRI, 376",Residencial,-10.909793,-37.056052,
IBGE-280377,"RUA SIRIRI, 380",Residencial,-10.909827,-37.056031,
IBGE-280378,"RUA SIRIRI, 390",Residencial,-10.909902,-37.056071,
IBGE-280379,"RUA SIRIRI, 396",Religioso,-10.909956,-37.055942,SANTUARIO DA PAZ
IBGE-280380,"RUA SIRIRI, 400",Residencial,-10.910042,-37.056055,
IBGE-280381,"RUA SIRIRI, 412",Residencial,-10.9101,-37.056068,
IBGE-280382,"RUA SIRIRI, 416",Residencial,-10.910149,-37.055943,
IBGE-280383,"RUA SIRIRI, 420",Loja/Comércio/Serviço,-10.910204,-37.056067,LARISSA SANTANA FISIOTERAPEUTA
IBGE-280384,"RUA SIRIRI, 424",Loja/Comércio/Serviço,-10.910176,-37.056101,SHAYANE MELO NAILS DESINER
IBGE-189337402,"RUA SIRIRI, 354",Residencial,-10.90965,-37.056029,
IBGE-280385,"TRAVESSA SAO CRISTOVAO VELHO, 876",Residencial,-10.910288,-37.056097,
IBGE-280386,"TRAVESSA SAO CRISTOVAO VELHO, 878",Residencial,-10.910227,-37.05624,
IBGE-280387,"TRAVESSA SAO CRISTOVAO VELHO, 880",Residencial,-10.910231,-37.056253,
IBGE-280392,"TRAVESSA SAO CRISTOVAO VELHO, 0",Residencial,-10.910222,-37.056259,
IBGE-280391,"TRAVESSA SAO CRISTOVAO VELHO, 0",Residencial,-10.910058,-37.056308,
IBGE-280390,"TRAVESSA SAO CRISTOVAO VELHO, 0",Residencial,-10.910129,-37.056252,
IBGE-280389,"TRAVESSA SAO CRISTOVAO VELHO, 0",Residencial,-10.910083,-37.056275,
IBGE-280388,"TRAVESSA SAO CRISTOVAO VELHO, 0",Residencial,-10.91003,-37.056292,
IBGE-280393,"TRAVESSA SAO CRISTOVAO VELHO, 878",Residencial,-10.910197,-37.056312,
IBGE-280396,"TRAVESSA SAO CRISTOVAO VELHO, 890",Residencial,-10.910252,-37.056339,
IBGE-280395,"TRAVESSA SAO CRISTOVAO VELHO, 890",Residencial,-10.910201,-37.056224,
IBGE-280394,"TRAVESSA SAO CRISTOVAO VELHO, 890",Residencial,-10.910223,-37.056261,
IBGE-280400,"TRAVESSA SAO CRISTOVAO VELHO, 32",Residencial,-10.910313,-37.056447,
IBGE-280399,"TRAVESSA SAO CRISTOVAO VELHO, 32",Residencial,-10.910276,-37.056412,
IBGE-280398,"TRAVESSA SAO CRISTOVAO VELHO, 32",Residencial,-10.910279,-37.056454,
IBGE-280401,"TRAVESSA SAO CRISTOVAO VELHO, 886",Residencial,-10.910271,-37.056401,
IBGE-280402,"TRAVESSA SAO CRISTOVAO VELHO, 882",Residencial,-10.910239,-37.056426,
IBGE-280403,"TRAVESSA SAO CRISTOVAO VELHO, 882",Residencial,-10.91025,-37.056468,
